state number   A              B              C              D              $              ss             a              s              
0              s2             s3             null           null           null           null           null           1              
1              null           null           null           null           acc            null           null           null           
2              null           s5             null           null           null           null           4              null           
3              null           null           null           null           r2             null           null           null           
4              s7             null           s6             null           r1             null           null           null           
5              null           null           null           s8             null           null           null           null           
6              r3             null           r3             null           r3             null           null           null           
7              null           null           null           s9             null           null           null           null           
8              r5             null           r5             null           r5             null           null           null           
9              r4             null           r4             null           r4             null           null           null           
